;;;;;;;1º CICLO;;;;;;;;;;;;;;;;;;
EIXO;OBJETIVO;META;COD DA ACAO;AÇÃO;ENVOLVIDOS;PRAZO FINAL;Status da ação ;Detalhamento do que foi realizado - se possivel fazer uma descrição incluindo dados numéricos;Dificuldades encontradas/ Sugestões;;;;;;;;;;;;;;;;
Energia;Objetivo 1: Reduzir o consumo de energia e ampliar a matriz de energia da UFSC;Meta 1 – Reduzir o consumo de energia e ampliar a matriz de energia da UFSC; 1 ;Ação 1 - Elaborar projetos arquitetônicos que permitam melhor utilização da iluminação natural e do fluxo de ar nas edificações.;DPAE;2029;Em andamento;Os projetos são desenvolvidos em conformidade com os requisitos de eficiência energética estabelecidos pelo RTQ do Inmetro, especialmente no que se refere à disposição e ao acionamento das luminárias. De modo geral, prioriza-se o aproveitamento da iluminação natural. Como exemplo, o projeto do CFM contempla amplas aberturas envidraçadas, um fosso central de iluminação e venezianas em todas as salas, favorecendo tanto a entrada de luz natural quanto a ventilação natural permanente.;Adaptações pelos usuários dos espaços originais, criando salas internas sem entrada de iluminação natural.;;;;;;;;;;;;;;;;
Energia;Objetivo 1: Reduzir o consumo de energia e ampliar a matriz de energia da UFSC;Meta 1 – Reduzir o consumo de energia e ampliar a matriz de energia da UFSC; 2 ;Ação 2 - Elaborar projetos básicos para subsidiar investimentos em painéis fotovoltaicos para geração de energia elétrica.;DPAE;2029;Em andamento;As viabilidades técnicas elaboradas pela COPLAN passaram a contemplar propostas para a implantação de sistemas fotovoltaicos, incluindo estimativas de geração de energia, economia financeira e orçamento preliminar para a implantação.;Orçamento e pendências de adequação das entradas de energia.;;;;;;;;;;;;;;;;
Energia;Objetivo 1: Reduzir o consumo de energia e ampliar a matriz de energia da UFSC;Meta 1 – Reduzir o consumo de energia e ampliar a matriz de energia da UFSC; 3 ;Ação 3 - Participar de chamadas públicas projetos nos Programas de Eficiência Energética - PEE vinculados à Agência Nacional de Energia Elétrica - ANEEL. ;CPGE;2029;Em andamento;Foram feitas conversas iniciais para avaliar a viabilidade de participação em editais de eficiência energética. Estão sendo realizados levantamentos nos sistemas de iluminação externa para identificar possiveis pontos de substituição a serem incluidos nesse tipo de projeto. ;Incertezas adiministrativas quanto ao rito de contratação dificultam o processo. Eventuais inadimplencias da instituição podem comprometer a participação nos editais Celesc.;;;;;;;;;;;;;;;;
Energia;Objetivo 1: Reduzir o consumo de energia e ampliar a matriz de energia da UFSC;Meta 1 – Reduzir o consumo de energia e ampliar a matriz de energia da UFSC; 4 ;Ação 4 - Instituir mecanismo de acompanhamento de consumo e geração de energia elétrica, em tempo real, para corrigir e modernizar sistemas de consumo nas edificações.;CPGE;2029;Em andamento;Principais sistemas de geração na Trindade e no Itacorubi foram incluidos em plataforma de monitoramento em tempo real baseada em Grafana, atualmente contando com 16 sistemas monitorados, totalizando 845 kW e 969 kWp.;"Parte dos sistemas de geração monitorados está inoperande em virtude de pendências com a concessionária ou falta de manutenção devido à ausencia de contrato especifico para esse fim.
Sistemas de medição em média tensão ainda não abrangem toda a UFSC.
Sistemas de medição em baixa tensão encontram-se majoritariamente inoperantes, desconectados ou inexistentes.";;;;;;;;;;;;;;;;
Energia;Objetivo 1: Reduzir o consumo de energia e ampliar a matriz de energia da UFSC;Meta 1 – Reduzir o consumo de energia e ampliar a matriz de energia da UFSC; 5 ;Ação 5 - Substituir as lâmpadas ineficientes por iluminação LED.;PU;2029;Não iniciado;;;;;;;;;;;;;;;;;;
Energia;Objetivo 1: Reduzir o consumo de energia e ampliar a matriz de energia da UFSC;Meta 1 – Reduzir o consumo de energia e ampliar a matriz de energia da UFSC; 6 ;Ação 6 - Programar os aparelhos para modo de economia de energia.;SETIC;2029;Concluído;Implementada politica de desligamento de computadores ocioso depois de 20 minutos;;;;;;;;;;;;;;;;;
Energia;Objetivo 1: Reduzir o consumo de energia e ampliar a matriz de energia da UFSC;Meta 1 – Reduzir o consumo de energia e ampliar a matriz de energia da UFSC; 7 ;Ação 7 - Estabelecer programa especializado de manutenção periódica das usinas fotovoltaicas.;DMPI;2029;Não iniciado;Conversas preliminares sobre o assunto, sem nenhuma definição do tipo de contratação, uma vez que grande parte dos sistemas ainda não está interligada à rede de alimentação da UFSC.;;;;;;;;;;;;;;;;;
Energia;Objetivo 1: Reduzir o consumo de energia e ampliar a matriz de energia da UFSC;Meta 1 – Reduzir o consumo de energia e ampliar a matriz de energia da UFSC; 8 ;Ação 8 - Monitorar consumo de energia reativa e implantar soluções adequadas nos locais identificados.;CPGE;2029;Não iniciado;Feitas apenas conversas iniciais sobre o tema. Será objeto do plano de trabalho da CPGE quando finalizadas as ações atualmente em curso.;Falta e medição em tempo real em toda a UFSC dificulta a identificação de pontos locais com problemas de consumo reativo excedente.;;;;;;;;;;;;;;;;
Energia;Objetivo 1: Reduzir o consumo de energia e ampliar a matriz de energia da UFSC;Meta 1 – Reduzir o consumo de energia e ampliar a matriz de energia da UFSC; 9 ;Ação 9 - Adquirir 80% de lampadas LED na aquisição de lampadas da universidade;DMPI;2029;Concluído;PE-090260/2025 - Porcesso  -  23080.046300/2025-54 - Aquisição de Lampadas LED = 10550 unidades  / outros tipos de lâmpadas = 1375 - Percentual de LED 88%;;;;;;;;;;;;;;;;;
